System Monitor Log;;;;;;
;;;;;;
Exported at ;: ;11/24/2022 13:36;;;;
Cabinet Serial;:;2022-123456;;;;
Cabinet Model;:;LA2;;;;
;;;;;;
No;Date;Time (24h);CPU Usage (%);Memory Usage (%);CPU Temperature (°C);SD Card Life (%)
